action,alert_name,bytes_received,bytes_sent,device,direction,dst_ip,dst_port,duration,host,http_method,level,log_type,msg,proto,protocol,raw_log,severity,source,src_ip,src_port,status_code,url,user,user_agent
alert,CSRF,,,,,10.0.0.20,,,,GET,warning,application,Detected CSRF: Generic CSRF Signature,,,"{""timestamp"": ""2026-01-06 10:17:29.259603"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.115"", ""dst_ip"": ""10.0.0.20"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic CSRF Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected CSRF: Generic CSRF Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""CSRF"", ""raw_log"": ""Pattern Detection: CSRF - Generic CSRF Signature""}",,,192.168.1.115,,200,/search?q=Generic CSRF Signature,N/A,Mozilla/5.0
alert,IOT botnet,,,,,10.0.0.23,80,,,GET,warning,network,Detected IOT botnet: Generic IOT botnet Signature,TCP,,"{""timestamp"": ""2026-01-06 10:17:40.203397"", ""log_type"": ""network"", ""src_ip"": ""192.168.1.196"", ""dst_ip"": ""10.0.0.23"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic IOT botnet Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected IOT botnet: Generic IOT botnet Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""IOT botnet"", ""src_port"": 28893, ""dst_port"": 80, ""proto"": ""TCP"", ""raw_log"": ""Pattern Detection: IOT botnet - Generic IOT botnet Signature""}",,,192.168.1.196,28893,200,/search?q=Generic IOT botnet Signature,N/A,Mozilla/5.0
DENY,,41609,724,Firewall-01,inbound,10.0.0.9,22,18,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:18:00.290234"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.100"", ""dst_ip"": ""10.0.0.9"", ""src_port"": 53830, ""dst_port"": 22, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 724, ""bytes_received"": 41609, ""duration"": 18, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.100,53830,,,,
alert,HTTP Response Splitting,,,,,10.0.0.45,,,,GET,warning,application,Detected HTTP Response Splitting: HTTP/1.1,,,"{""timestamp"": ""2026-01-06 10:18:24.071683"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.130"", ""dst_ip"": ""10.0.0.45"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=HTTP/1.1"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected HTTP Response Splitting: HTTP/1.1"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""HTTP Response Splitting"", ""raw_log"": ""Pattern Detection: HTTP Response Splitting - HTTP/1.1""}",,,192.168.1.130,,200,/search?q=HTTP/1.1,N/A,Mozilla/5.0
alert,HTTP Request Smuggling,,,,,10.0.0.41,,,,GET,warning,application,Detected HTTP Request Smuggling: Transfer-Encoding,,,"{""timestamp"": ""2026-01-06 10:18:37.596758"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.109"", ""dst_ip"": ""10.0.0.41"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Transfer-Encoding"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected HTTP Request Smuggling: Transfer-Encoding"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""HTTP Request Smuggling"", ""raw_log"": ""Pattern Detection: HTTP Request Smuggling - Transfer-Encoding""}",,,192.168.1.109,,200,/search?q=Transfer-Encoding,N/A,Mozilla/5.0
DENY,,7080,3974,Firewall-01,outbound,10.0.0.206,443,85,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:18:55.602798"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.81"", ""dst_ip"": ""10.0.0.206"", ""src_port"": 39698, ""dst_port"": 443, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 3974, ""bytes_received"": 7080, ""duration"": 85, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.81,39698,,,,
ALLOW,,47295,1701,Firewall-01,outbound,10.0.0.142,443,32,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:19:01.369692"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.146"", ""dst_ip"": ""10.0.0.142"", ""src_port"": 37285, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 1701, ""bytes_received"": 47295, ""duration"": 32, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.146,37285,,,,
ALLOW,,1540,4872,Firewall-01,inbound,10.0.0.237,22,80,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:19:02.148397"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.110"", ""dst_ip"": ""10.0.0.237"", ""src_port"": 35927, ""dst_port"": 22, ""protocol"": ""TCP"", ""action"": ""ALLOW"", ""bytes_sent"": 4872, ""bytes_received"": 1540, ""duration"": 80, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.110,35927,,,,
ALLOW,,17834,324,Firewall-01,outbound,10.0.0.145,80,61,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:19:04.223957"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.186"", ""dst_ip"": ""10.0.0.145"", ""src_port"": 62090, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""ALLOW"", ""bytes_sent"": 324, ""bytes_received"": 17834, ""duration"": 61, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.186,62090,,,,
alert,CLICK JACKING,,,,,10.0.0.39,,,,GET,warning,application,Detected CLICK JACKING: Generic CLICK JACKING Signature,,,"{""timestamp"": ""2026-01-06 10:19:09.848110"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.129"", ""dst_ip"": ""10.0.0.39"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic CLICK JACKING Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected CLICK JACKING: Generic CLICK JACKING Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""CLICK JACKING"", ""raw_log"": ""Pattern Detection: CLICK JACKING - Generic CLICK JACKING Signature""}",,,192.168.1.129,,200,/search?q=Generic CLICK JACKING Signature,N/A,Mozilla/5.0
